X_scan,Y_scan,X_acc,Y_acc,Radius,Mean,StdDev,Prominence_min,Prominence_pseudo
3,1,269.0364,408.4472,3,40.3333,2.3469,3,28
3,1,189.5139,398.5168,3,39.5556,2.3469,3,26
3,1,414.4056,244.2107,3,34.0000,2.3469,3,26
3,1,410.3533,213.2769,3,10.1111,2.3469,3,10
3,1,347.1032,388.0199,3,34.3333,2.3469,3,22
3,1,416.1078,274.1597,3,37.8889,2.3469,3,25
3,1,161.2109,386.2184,3,36.4444,2.3469,3,25
3,1,216.4262,412.4421,3,26.5556,2.3469,3,21
3,1,372.1670,369.3198,3,19.6667,2.3469,3,14
3,1,322.1189,404.1311,3,12.3333,2.3469,3,9
3,1,134.2005,372.4102,3,47.3333,2.3469,3,32
3,1,396.3729,352.4098,3,25.1111,2.3469,3,19
3,1,419.0814,305.1726,3,45.2222,2.3469,3,29
3,1,243.2460,426.3668,3,21.0000,2.3469,3,15
3,1,231.4832,87.1016,3,28.5556,2.3469,3,20
3,1,296.3288,422.3950,3,18.8889,2.3469,3,16
3,1,285.0259,83.1881,3,23.1111,2.3469,3,15
3,1,154.0845,109.1256,3,9.4444,2.3469,3,5
3,1,179.1870,92.2222,3,10.0000,2.3469,3,7
3,1,439.3645,257.1481,3,22.0000,2.3469,3,15
3,1,272.0725,438.3098,3,9.7778,2.3469,3,7
3,1,422.3347,335.2307,3,23.3333,2.3469,3,18
3,1,257.0360,71.0180,3,11.2222,2.3469,3,7
3,1,81.1625,195.2760,3,13.6667,2.3469,3,10
3,1,163.3032,417.0657,3,29.8889,2.3469,3,20
3,1,374.2602,400.2574,3,16.7778,2.3469,3,11
3,1,191.0537,430.3806,3,22.0000,2.3469,3,16
3,1,349.1350,418.0153,3,23.3333,2.3469,3,14
3,1,137.1946,402.4367,3,16.6667,2.3469,3,11
3,1,443.4941,287.4106,3,25.2222,2.3469,3,19
3,1,219.2526,443.0955,3,18.0000,2.3469,3,13
3,1,324.0356,435.1909,3,13.1111,2.3469,3,8
3,1,399.2084,383.2348,3,13.6667,2.3469,3,9
3,1,61.1645,274.1977,3,18.7778,2.3469,3,12
3,1,338.1198,78.1484,3,8.2222,2.3469,3,5
3,1,365.1515,91.1919,3,5.7778,2.3469,3,4
3,1,58.2509,243.1909,3,9.7778,2.3469,3,7
3,1,446.2887,318.1138,3,20.7778,2.3469,3,14
3,1,424.2807,365.2565,3,12.0000,2.3469,3,7
3,1,299.1806,452.2609,3,13.4444,2.3469,3,8
3,1,246.1414,456.2730,3,12.5556,2.3469,3,10
3,1,425.2612,146.0746,3,8.3333,2.3469,3,4
3,1,66.1975,336.0335,3,8.6667,2.3469,3,5
3,1,166.3219,447.1157,3,18.4444,2.3469,3,11
3,1,377.0363,432.2096,3,15.4444,2.3469,3,9
3,1,448.4591,348.1032,3,23.0000,2.3469,3,16
3,1,193.4964,461.1577,3,39.3333,2.3469,3,28
3,1,352.0376,448.3237,3,15.7778,2.3469,3,11
3,1,273.3571,470.1696,3,16.0000,2.3469,3,11
3,1,402.3043,413.4730,3,21.1111,2.3469,3,16
3,1,221.2411,474.3732,3,12.2222,2.3469,3,8
3,1,427.2000,397.0455,3,11.4444,2.3469,3,8
3,1,327.2872,465.2137,3,7.7778,2.3469,3,6
3,1,451.4500,379.0276,3,12.4444,2.3469,3,8
3,1,249.1300,487.2982,3,15.8889,2.3469,3,9
3,1,302.1071,483.2479,3,10.8889,2.3469,3,6
3,1,40.2200,352.1000,3,9.3333,2.3469,3,5
3,1,404.3124,443.2581,3,13.4444,2.3469,3,9
3,1,102.2389,440.2028,3,3.7778,2.3469,3,5
3,1,380.0608,462.0684,3,10.3333,2.3469,3,8
3,1,429.2203,427.0396,3,21.5556,2.3469,3,13
3,1,354.1730,479.0319,3,23.8889,2.3469,3,15
3,1,276.3799,500.1808,3,15.3333,2.3469,3,10
3,1,329.1528,496.0142,3,13.6667,2.3469,3,8
4,1,255.7110,256.1277,3,197.7778,2.3469,3,192
4,1,229.4087,242.2534,3,185.3333,2.3469,3,140
4,1,284.1579,268.4194,3,199.2222,2.3469,3,159
4,1,281.5023,238.6206,3,186.1111,2.3469,3,125
4,1,231.4452,273.5095,3,135.5556,2.3469,3,103
4,1,254.4433,225.2948,3,83.3333,2.3469,3,67
4,1,259.4052,286.5190,3,155.7778,2.3469,3,114
4,1,308.3725,252.1553,3,198.7778,2.3469,3,155
4,1,279.3828,209.0888,3,208.5556,2.3469,3,161
4,1,227.3662,212.3205,3,69.5556,2.3469,3,56
4,1,287.0732,299.3240,3,181.1111,2.3469,3,135
4,1,203.4748,260.0321,3,211.4444,2.3469,3,171
4,1,233.4867,305.1831,3,205.6667,2.3469,3,166
4,1,262.2536,316.4129,3,91.2222,2.3469,3,72
4,1,202.4740,229.2188,3,79.2222,2.3469,3,64
4,1,206.3517,290.3878,3,99.5556,2.3469,3,80
4,1,252.1594,195.1983,3,28.1111,2.3469,3,21
4,1,307.0697,222.0300,3,174.4444,2.3469,3,125
4,1,311.4866,282.2870,3,86.6667,2.3469,3,72
4,1,177.2119,246.2485,3,85.8889,2.3469,3,62
4,1,179.1409,277.2692,3,89.1111,2.3469,3,62
4,1,304.1580,192.1652,3,81.0000,2.3469,3,57
4,1,336.3150,265.2442,3,68.0000,2.3469,3,54
4,1,314.2299,312.3398,3,74.7778,2.3469,3,56
4,1,277.0835,178.1017,3,13.5556,2.3469,3,11
4,1,289.5000,330.1200,3,80.7778,2.3469,3,53
4,1,209.0419,322.0369,3,69.3333,2.3469,3,48
4,1,334.3495,234.5239,3,135.0000,2.3469,3,99
4,1,224.2109,181.2802,3,9.7778,2.3469,3,6
4,1,199.2435,198.3394,3,11.2222,2.3469,3,9
4,1,236.3020,335.0062,3,56.0000,2.3469,3,39
4,1,174.3441,216.2251,3,12.7778,2.3469,3,9
4,1,181.3289,308.1240,3,84.5556,2.3469,3,61
4,1,339.3650,295.4737,3,100.4444,2.3469,3,84
4,1,331.4665,204.4829,3,126.6667,2.3469,3,108
4,1,249.2200,164.1504,3,9.4444,2.3469,3,6
4,1,264.4343,348.0446,3,118.3333,2.3469,3,83
4,1,152.1865,263.4729,3,66.6667,2.3469,3,48
4,1,361.0653,248.2789,3,103.4444,2.3469,3,73
4,1,302.0344,161.1247,3,17.4444,2.3469,3,11
4,1,211.1992,352.3938,3,108.3333,2.3469,3,80
